X,Y,Z
-22.5417,-176.2359,-24.4595
-22.3465,-176.2359,-24.4595
-22.1513,-176.2174,-24.4595
-21.956,-176.2174,-24.4595
-21.7608,-176.1988,-24.4595
-21.5558,-176.1802,-24.4595
-21.3606,-176.1802,-24.4595
-21.1653,-176.1617,-24.4595
-20.9701,-176.1617,-24.4595
-20.7749,-176.1431,-24.4595
-20.5699,-176.1431,-24.4595
-20.3746,-176.1431,-24.4595
-20.1794,-176.1431,-24.4595
-19.9744,-176.1431,-24.4595
-19.7694,-176.1431,-24.4595
-19.5742,-176.1617,-24.4595
-19.379,-176.1431,-24.4595
-19.174,-176.1617,-24.4595
-18.9787,-176.1617,-24.4595
-18.7737,-176.1802,-24.4595
-18.5785,-176.1988,-24.4595
-18.3735,-176.1988,-24.4595
-18.1685,-176.2174,-24.4595
-17.9733,-176.2359,-24.4595
-17.7683,-176.2731,-24.4595
-17.5828,-176.3102,-24.4595
-17.3876,-176.3473,-24.4595
-17.1826,-176.403,-24.4595
-16.9971,-176.4401,-24.4595
-16.8116,-176.5144,-24.4595
-16.6262,-176.5887,-24.4595
-16.4407,-176.6815,-24.4595
-16.265,-176.7743,-24.4595
-16.0893,-176.8671,-24.4595
-15.9136,-176.9785,-24.4595
-15.7476,-177.0899,-24.4595
-15.5914,-177.2198,-24.4595
-15.4255,-177.3498,-24.4595
-15.2791,-177.4797,-24.4595
-15.1327,-177.6097,-24.4595
-14.9862,-177.7582,-24.4595
-14.8496,-177.9067,-24.4595
-14.7031,-178.0552,-24.4595
-14.5567,-178.2038,-24.4595
-14.4103,-178.3337,-24.4595
-14.2736,-178.4822,-24.4595
-14.1272,-178.6307,-24.4595
-13.9905,-178.7792,-24.4595
-13.8344,-178.9278,-24.4595
-13.6879,-179.0577,-24.4595
-13.5415,-179.1877,-24.4595
-13.3853,-179.3362,-24.5595
-13.2291,-179.4661,-24.5595
-13.073,-179.5775,-24.5595
-12.907,-179.7075,-24.5595
-12.7411,-179.8188,-24.5595
-12.5849,-179.9488,-24.5595
-12.4092,-180.0602,-24.5596
-12.2432,-180.1716,-24.5596
-12.0675,-180.2644,-24.5596
-11.8918,-180.3758,-24.5596
-11.7161,-180.4686,-24.5596
-11.5404,-180.5614,-24.5596
-11.3549,-180.6542,-24.5596
-11.1792,-180.747,-24.5596
-10.9937,-180.8399,-24.5596
-10.818,-180.9141,-24.5596
-10.6325,-180.9884,-24.5596
-10.4471,-181.0812,-24.5596
-10.2616,-181.1555,-24.5596
-10.0761,-181.2112,-24.5596
-9.8809,-181.2854,-24.5596
-9.6954,-181.3411,-24.5596
-9.5002,-181.3968,-24.5596
-9.305,-181.4525,-24.5596
-9.1195,-181.4896,-24.5596
-8.9243,-181.5453,-24.5596
-8.729,-181.5824,-24.5596
-8.5338,-181.6196,-24.5596
-8.3386,-181.6381,-24.5596
-8.1433,-181.6567,-24.5596
-7.9481,-181.6938,-24.5596
-7.7431,-181.6938,-24.5596
-7.5479,-181.7124,-24.5596
-7.3526,-181.7495,-24.5596
-7.1574,-181.7681,-24.5596
-6.9622,-181.7681,-24.5596
-6.7669,-181.7866,-24.5596
-6.5619,-181.8052,-24.5596
-6.3667,-181.8238,-24.5596
